full_name,net,ORAPM,DRAPM,oTS,oTOV,oSC,dTS,dTOV,dSC,RESID,PVAL,ci95,weff
Duncan Powell,-3.306954210754759,-2.3331302830996528,-0.9738239276551063,-1.8155521151617073,-0.17085265434681948,-0.346725513591126,-0.6736396063909086,-0.2136095522605014,-0.08657476900369629,0.0,-0.8177624892021432,3.8072414821755087,4315.588685467042
Tyler Thomas,-3.308010616986136,-2.5196649101394284,-0.7883457068467074,-1.8311645192117425,-0.16059382510080802,-0.5279065658268777,-0.6039016822483738,-0.09219370891253266,-0.09225031568580089,0.0,-0.8729444155260192,3.912534770126598,2757.7751121151596
Sherman Weatherspoon IV,-3.3083688945108074,-2.3640999899515363,-0.944268904559271,-2.0285239708947165,-0.08313076654665207,-0.2524452525101676,-0.7828099171781919,-0.06568844968860184,-0.0957705376924772,0.0,-0.49703500643789866,3.9935816729162315,2144.7623750786242
T.O. Barrett,-3.309377548845723,-2.324683250138208,-0.9846942987075149,-1.64415580196294,-0.33672237246934533,-0.3438050757059229,-0.8953874925505017,-0.004492179368177307,-0.08481462678883593,0.0,-0.7698342543322814,3.9419701919675183,2486.2913443841735
Lamin Sabally,-3.3097395391440143,-2.5873412807671157,-0.7223982583768989,-1.6607294607423149,-0.1940394067219256,-0.7325724133028751,-0.552357904018536,-0.0655306937395059,-0.10450966061885687,0.0,-1.0966521743831636,3.836677269999352,3717.491113850032
Dior Johnson,-3.3105203121508198,-1.943348776921052,-1.3671715352297678,-1.640389222799061,-0.13054276295779907,-0.17241679116419178,-1.0602558765211905,-0.21888354753332429,-0.08803211117525284,0.0,-0.609875212830568,3.9667267723643347,2309.107897943123
Asjon Anderson,-3.310784926342567,-2.661359216691965,-0.6494257096506021,-2.1235773412221692,-0.24942244605517466,-0.2883594294146208,-0.671649590321958,0.12170740151790096,-0.09948352084654503,0.0,-0.5155579947984394,3.9495267700982044,2435.9186861542785
Dez White,-3.312522627781122,-2.3926943024275706,-0.9198283253535514,-1.7835306062419052,-0.14972951683603408,-0.45943417934963143,-0.741377866248166,-0.07368531141630807,-0.10476514768907728,0.0,-0.7876141552910508,3.7663898587248057,5503.658930759907
Avery Felts,-3.3143055617399084,-2.390104905252413,-0.9242006564874953,-1.9518596119867038,0.03548072321794393,-0.47372601648365326,-0.7697966147589212,-0.07292707363958575,-0.08147696808898833,0.0,-0.5926493349942834,3.94336179494686,2490.398371567343
Ryan Myers,-3.31571439882533,-2.604680245607986,-0.7110341532173438,-1.792917909293242,-0.22287464845546393,-0.5888876878592803,-0.49067174859298934,-0.12930902313158193,-0.09105338149277242,0.0,-1.0321247409390986,3.789797290802904,4757.059797924927
Jared Coleman-Jones,-3.3160590188477697,-2.7769277652549933,-0.5391312535927764,-1.94934922622013,-0.23834031086959886,-0.5892382281652643,-0.3457510836002608,-0.0921110799081668,-0.10126909008434871,0.0,-1.0209587090273786,3.9206705155887795,2678.6673942144243
Isaac Finlinson,-3.316586534322201,-2.8478935942288137,-0.46869294009338747,-1.9507514136767266,-0.3200373636921483,-0.5771048168599391,-0.3276193422978523,-0.04660907005389031,-0.0944645277416449,0.0,-1.0382157783476227,3.9537586402838114,2415.975002676599
Caleb Fields,-3.3169433006218876,-2.6094088327745366,-0.7075344678473512,-1.978743047878614,-0.11117724949103083,-0.5194885354048915,-0.5806240267145152,-0.025230088339077687,-0.10168035279375835,0.0,-0.7575762260287583,3.977828865987524,2236.880044031033
Lucas Hobin,-3.317483441410781,-2.703875705735822,-0.6136077356749593,-1.8129491547416539,-0.3396303959504532,-0.5512961550437144,-0.32737693415727775,-0.1913079009418742,-0.09492290057580735,0.0,-1.1771573525118493,3.909334151279868,2765.515357325785
Darrick Jones Jr.,-3.318000450386818,-2.482774150994967,-0.8352262993918516,-1.8119801944390974,-0.19773930684514804,-0.4730546497107215,-0.7308039095714473,0.00014147325502067432,-0.10456386307542502,0.0,-0.7752163463762738,4.0178718891251,2003.197817547406
Seydou Traore,-3.318372722365254,-2.46993292500374,-0.8484397973615141,-1.818722182076531,-0.1765679804141451,-0.474642762513064,-0.7916981651703321,0.010365397270822932,-0.067107029462005,0.0,-0.707952375118391,3.7991828761598248,4499.126834003544
Sam Alajiki,-3.3184363322078148,-2.5620003820651163,-0.7564359501426985,-1.9702862798939678,-0.20933283865565908,-0.38238126351548946,-0.4989715738130404,-0.1700224758422358,-0.08744190048742223,0.0,-0.8491784785008065,3.9905833619899562,2148.549767063011
Ryan Bartley,-3.3185904352717923,-2.664266418312538,-0.6543240169592541,-1.8268947062861196,-0.16796892590503074,-0.6694027861213878,-0.40866348729325297,-0.1408395282350591,-0.10482100143094207,0.0,-1.0830322416924196,3.917950659597235,2716.4923442411064
Xavier Hall,-3.3187345670457686,-2.659840507893329,-0.6588940591524397,-1.8359012928636746,-0.23189520232312344,-0.5920440127065311,-0.5415725803276248,-0.024870054659274277,-0.09245142416554065,0.0,-0.9412606938544694,3.930358470610819,2588.2346147116486
Jon Sanders II,-3.319171051776737,-2.5651392149110106,-0.7540318368657264,-1.8823739575299128,-0.355036820276687,-0.3277284371044109,-0.4999046479681943,-0.1688963975773139,-0.08523079132021819,0.0,-0.9368924462786299,3.874997795065783,3155.3681833448923
Marcus Randolph,-3.3194394853046374,-2.5673094290975556,-0.7521300562070818,-1.9366606709855165,-0.28442606454516167,-0.34622269356687707,-0.6584515803026941,-0.0009649598437300594,-0.09271351606065774,0.0,-0.7243272340164265,3.906890831184383,2810.6617640023187
Del Jones,-3.3210545602578607,-2.505340404364519,-0.8157141558933415,-1.8282155604049097,-0.07578647976552921,-0.6013383641940804,-0.5311361418272313,-0.19241505483585827,-0.09216295923025182,0.0,-0.9617028580257198,3.8283998494305727,3880.4898177240902
