full_name,net,ORAPM,DRAPM,oTS,oTOV,oSC,dTS,dTOV,dSC,RESID,PVAL,ci95,weff,nba_player_id,id_ambiguous,war,war_rate82,dollar_value
LeBron James,1.2262327724544875,1.1896564619838226,0.07546439412959022,1.8684725529877069,-0.24954446993519558,-0.42927162106868855,0.46203584263393965,-0.05945180347332915,-0.32711964503102026,-0.038888083658925376,-1.0653875395082335,2.8413578915168003,26149.34968669746,,True,,,
Kenrich Williams,1.213124155431545,-0.09537993261620847,1.2407976295569996,-0.6947630562355825,-0.007279733794276537,0.6066628574136506,0.12559491406419665,0.6533323948482402,0.4618703206445626,0.06770645849075407,1.714585839112177,4.264682209083843,11607.594325900878,1629026,False,1.157,1.7259999999999998,3472334.0
Myles Turner,1.200762742445348,0.024160121718572514,1.2629238616172749,1.1667114318013676,-0.03173154988031826,-1.1108197602024767,1.0241078153300471,-0.31253897264705194,0.5513550189342797,-0.08632124089049942,-0.9037352637955673,3.043567151775831,22790.15091384938,1626167,False,4.074,4.706,12222939.0
Dillon Brooks,1.167920451674302,-0.08509025858757108,1.1254145920638967,-0.7433930001408351,0.6100960748879009,0.04820666666536317,0.6556159138843749,0.717742915890823,-0.2479442377113013,0.12759611819797634,1.1281014197327859,3.0831044548961413,22209.363843560604,1628415,False,1.973,2.889,5919535.0
Sam Merrill,1.145767635786516,1.1274425105000638,-0.07798757772364703,0.2965687856245351,0.7589527799934208,0.07192094488210798,-0.25178390714050647,0.05449300690670955,0.11930332251014988,0.0963127030100992,1.0046700542923883,4.1122227419898225,12484.508492643472,1630241,False,1.566,2.4690000000000003,4696799.0
Zion Williamson,1.1426022654062633,1.1308930244272648,-0.1521172147278319,0.11064121780739972,0.5504257047303611,0.46982610188950397,0.5640932738351828,-0.26408717598382103,-0.4521233125791937,0.1638264557068304,0.3040413180568504,3.718654901131766,15266.947900536237,1629627,False,2.696,3.565,8087073.0
Brandin Podziemski,1.13142804077926,-0.6139015158855554,1.290560171315486,-1.4290979863374678,0.7739552788139722,0.04124119163794017,1.3149938398790793,0.40384626830980225,-0.4282799368733957,0.45476938534932954,0.7907628018883189,3.539962823590791,16846.715293948633,1641764,False,3.532,3.5320000000000005,10596032.0
Joe Ingles,1.1080445652540232,1.3521225779779273,-0.1636868879235057,1.9935306562562967,-0.2279354771376818,-0.4134726011406874,0.19089213790105766,-0.1298366089018727,-0.22474241692269065,-0.08039112480039856,-0.9959871041029325,5.532353805505409,6897.65972910989,,True,,,
Chris Boucher,1.0985325759151907,0.5297410174544529,0.2007144107869373,-1.0336559075722471,0.5429817764368307,1.0204151485898694,0.3680389849340963,0.321318972737195,-0.4886435468843541,0.3680771476738005,1.3960723508795412,5.245764193781321,7671.783658372582,,True,,,
Christian Braun,1.0779860388537794,-0.3515061836206245,1.1713236257096715,-0.6040121777681593,0.1546055309633782,0.09790046318415657,1.6142306528909556,-0.08082369595843929,-0.3620833312228448,0.25816859676473247,-0.19040103303374933,3.3591754469537696,18708.98175997918,1631128,False,1.209,2.254,3627922.0
